time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
1188,62.178993,75.81358,16.283703,2.5720503,-20.189917,0.0,0.0,3.86629,-4.3596363,4.648733,5.4893847,-9.484278,0.28868666,-1.0695255,-34.90552,0.0,61.937008,101237.91,22.73,2,44
1200,63.009315,75.59232,16.34515,2.5150864,-20.357136,0.0,0.0,5.269941,-6.073668,2.0118165,8.974138,-9.5561285,0.70840085,-0.7073356,-34.90552,0.0,62.83779,101227.36,22.73,2,44
1211,63.830242,75.36738,16.397146,2.4504209,-19.986393,0.0,0.0,5.108118,-5.343647,-1.6238233,8.183782,-9.412427,0.6359629,-0.34408042,-34.90552,0.0,63.68431,101217.47,22.73,2,44
1222,64.645226,75.14453,16.433535,2.396478,-19.613705,0.0,0.0,3.6548457,-2.3918524,-2.701582,4.2032595,-9.498648,0.28442562,-0.14274544,-34.90552,0.0,64.53083,101207.58,22.73,2,44
1233,65.46049,74.92481,16.454033,2.3642137,-19.71867,0.0,0.0,2.1967354,-3.0394852,-3.1973512,4.160149,-9.204061,-0.11824436,-0.24927188,-34.90552,0.0,65.43704,101197.03,22.73,2,44
1243,66.25555,74.71688,16.462471,2.3655639,-19.053999,0.0,0.0,2.0734057,-0.06144023,-2.076482,0.92687255,-9.196875,-0.30360037,-0.60507023,-34.90552,0.0,66.28356,101187.14,22.73,2,43
1254,67.05674,74.50932,16.462698,2.3877206,-18.713606,0.0,0.0,0.32372653,2.0305247,0.15088624,1.1783496,-9.060359,0.040480047,-1.0578076,-34.90552,0.0,67.13008,101177.25,22.73,2,44
1266,67.85686,74.30488,16.44657,2.4338775,-18.676765,0.0,0.0,-3.6108952,5.0660505,2.1195922,5.388794,-9.153765,0.42184472,-1.0056096,-34.90552,0.0,68.036285,101166.7,22.73,2,44
1277,68.667595,74.10623,16.412785,2.5112066,-18.165394,0.0,0.0,-4.359233,7.026553,1.3076807,7.3215747,-9.103469,0.6199839,-0.7190535,-34.90552,0.0,68.93707,101156.16,22.73,2,44
1288,69.487854,73.911316,16.377659,2.60055,-17.827168,0.0,0.0,-2.8091006,7.3305655,-0.12933105,6.488108,-9.153765,0.5613944,-0.4165184,-34.90552,0.0,69.78902,101146.266,22.73,2,44
1299,70.29318,73.71907,16.348541,2.6932771,-17.591537,0.0,0.0,-3.0176368,7.7110043,-2.6225464,6.387517,-9.024434,0.16298546,-0.3057309,-34.90552,0.0,70.63554,101136.375,22.73,2,44
1309,71.07325,73.53232,16.338125,2.7723386,-17.867243,0.0,0.0,-0.9045813,4.9121113,-2.4932153,2.327959,-8.844808,-0.053263225,-0.46871635,-34.90552,0.0,70.63554,101136.375,22.73,2,43
1320,71.90672,73.33642,16.345049,2.8217602,-18.043009,0.0,0.0,1.3530538,3.3688822,-0.53169435,0.81191164,-8.945398,-0.0628506,-0.6711166,-34.90552,0.0,71.5526,101125.69,22.73,2,44
1331,72.70378,73.1401,16.378218,2.8516803,-17.612333,0.0,0.0,4.358247,2.580337,1.6741186,2.3710694,-8.837622,0.06711166,-0.80107886,-34.90552,0.0,72.328575,101116.6,22.73,2,44
1343,73.4822,72.951546,16.448353,2.8802817,-16.8981,0.0,0.0,7.435347,1.9946783,2.0333717,5.647456,-8.571775,0.23435818,-0.83729786,-34.90552,0.0,73.120834,101107.375,22.73,2,44
1354,74.26227,72.760345,16.531113,2.8890083,-17.089634,0.0,0.0,7.817494,1.4439905,0.26584718,6.3372216,-8.715476,0.4644553,-0.6679208,-34.90552,0.0,73.97278,101097.484,22.73,2,44
1365,75.06552,72.56597,16.616482,2.8824143,-18.04358,0.0,0.0,7.5425777,-1.9789655,1.1783496,7.106023,-8.758587,0.46658584,-0.4495416,-34.90552,0.0,74.88984,101086.78,22.73,2,44
1375,75.847015,72.370834,16.695148,2.864236,-17.953285,0.0,0.0,7.238145,-2.1650248,-1.2430152,6.9192114,-8.600515,0.27483824,-0.31318775,-34.90552,0.0,75.6821,101077.555,22.73,2,43
1386,76.63452,72.16707,16.754465,2.8434184,-18.44637,0.0,0.0,4.2746506,-1.5490384,-1.1567944,4.3397756,-8.665181,0.024501082,-0.37071204,-34.90552,0.0,76.52862,101067.664,22.73,2,44
1398,77.42074,71.96436,16.793608,2.8324404,-18.421886,0.0,0.0,3.3698273,-1.4907858,-1.8609302,3.5206788,-8.478369,-0.08841695,-0.5699165,-34.90552,0.0,77.37514,101057.78,22.73,2,44
1409,78.19779,71.76072,16.807024,2.8360682,-18.345884,0.0,0.0,0.80801964,0.82529664,0.15088624,1.4298266,-8.49274,0.080960095,-0.8159926,-34.90552,0.0,78.16739,101048.55,22.73,2,44
1420,78.9572,71.554405,16.791124,2.8435643,-18.961655,0.0,0.0,-3.6409502,0.95069265,2.7375073,4.4978466,-8.377778,0.26418558,-0.79042625,-34.90552,0.0,78.95965,101039.31,22.73,2,44
1431,79.713425,71.34449,16.7459,2.8565288,-19.209717,0.0,0.0,-5.2512994,1.09172,1.5160474,6.6174393,-8.428074,0.37710363,-0.67537767,-34.90552,0.0,79.81159,101029.43,22.73,2,44
1469,82.45736,70.65041,16.620136,3.0193427,-17.346947,0.0,0.0,-0.8643507,3.9386992,-0.65384036,2.7231371,-8.076006,0.036218993,-0.44528055,-34.90552,0.0,82.231766,101001.234,22.73,2,44
