time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
720,20.23213,40.0469,16.461355,10.345802,44.946564,0.0,0.0,63.17533,-35.74495,-3.894302,33.662,84.374146,-1.9781961,4.466654,-16.888702,0.0,20.689741,101257.41,36.52,2,44
731,21.033611,40.551838,17.124243,9.909797,46.672054,0.0,0.0,57.467567,-41.871605,-6.660549,33.776962,84.02926,-2.3254724,4.181163,-19.592344,0.0,21.59843,101247.305,36.52,2,44
742,21.895065,41.07663,17.717922,9.410711,48.72138,0.0,0.0,49.430573,-48.16001,-8.744216,34.265545,83.29639,-2.6716833,3.9031289,-21.265875,0.0,22.637014,101235.69,36.51,2,44
754,22.745485,41.629944,18.220413,8.8647175,51.80029,0.0,0.0,40.622314,-51.180855,-11.000325,32.54113,82.98024,-2.9699574,3.713512,-21.943382,0.0,23.488884,101226.14,36.51,2,44
765,23.539444,42.22195,18.621744,8.284414,54.64703,0.0,0.0,30.870556,-53.76889,-13.191768,32.03099,82.455734,-3.2085764,3.6005938,-21.58652,0.0,24.1696,101218.57,36.5,2,45
775,24.21066,42.830433,18.90656,7.706766,57.796345,0.0,0.0,21.700008,-53.207638,-14.578484,30.220356,82.13959,-3.4930022,3.6155076,-18.914835,0.0,24.65231,101213.19,36.5,2,44
787,24.804674,43.487183,19.08236,7.1216087,60.820454,0.0,0.0,11.208279,-51.375317,-14.664704,30.098211,81.44264,-3.568636,3.7358825,-16.498816,0.0,25.08391,101208.31,36.5,2,45
797,25.333195,44.1687,19.150064,6.5807524,63.954502,0.0,0.0,0.5242977,-47.25299,-13.292358,31.010714,80.84628,-3.5622444,3.930826,-14.365091,0.0,25.577152,101202.8,36.49,2,44
808,25.849293,44.888115,19.109404,6.0831885,66.43011,0.0,0.0,-7.4267235,-42.11039,-13.083992,30.917307,80.70976,-3.516438,4.1886196,-12.495552,0.0,26.13367,101196.58,36.49,2,44
819,26.362099,45.63577,18.977222,5.6559763,69.20214,0.0,0.0,-15.89058,-36.161285,-12.30082,32.62735,81.16242,-3.4205642,4.4964814,-10.510964,0.0,26.632542,101191.03,36.48,2,44
831,26.871151,46.40982,18.753845,5.309925,71.014595,0.0,0.0,-24.635101,-26.877272,-8.981323,35.386414,80.80317,-3.1649008,5.032309,-7.4557858,0.0,27.296936,101183.625,36.48,2,44
842,27.426794,47.20252,18.438763,5.063341,72.68513,0.0,0.0,-32.110985,-18.064737,-6.6892896,38.540653,81.44264,-2.932673,5.4349794,-5.88026,0.0,28.211187,101173.39,36.48,2,44
